Query,Match,HMDB,PubChem,ChEBI,KEGG,METLIN,SMILES,Comment
"N6,N6,N6-trimethyllysine","N6,N6,N6-Trimethyl-L-lysine",HMDB0001325,440120,17311,C03793,6161,C[N+](C)(C)CCCC[C@H](N)C([O-])=O,1
N-acetylputrescine,N-Acetylputrescine,HMDB0002064,122356,17768,C02714,3252,CC(=O)NCCCCN,1
N-formylmethionine,N-Formyl-L-methionine,HMDB0001015,439750,16552,C03145,5945,CSCC[C@H](NC=O)C(O)=O,1
S-adenosylhomocysteine (SAH),S-Adenosylhomocysteine,HMDB0000939,439155,16680,C00021,296,N[C@@H](CCSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N)C(O)=O,1
"adenosine 3',5'-cyclic monophosphate (cAMP)",Cyclic AMP,HMDB0000058,6076,17489,C00575,5120,[H][C@@]12COP(O)(=O)O[C@@]1([H])[C@@H](O)[C@@H](O2)N1C=NC2=C1N=CN=C2N,1
adenosine 5'-monophosphate (AMP),Adenosine monophosphate,HMDB0000045,6083,16027,C00020,5111,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,1
5-methylthioadenosine (MTA),5'-Methylthioadenosine,HMDB0001173,439176,17509,C00170,3425,CSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N,1
arachidote (20:4n6),Arachidonic acid,HMDB0001043,444899,15843,C00219,193,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,1
arginine,L-Arginine,HMDB0000517,6322,16467,C00062,5502,N[C@@H](CCCNC(N)=N)C(O)=O,1
aspartate,L-Aspartic acid,HMDB0000191,5960,17053,C00049,5206,N[C@@H](CC(O)=O)C(O)=O,1
2-hydroxyphenylacetate,Ortho-Hydroxyphenylacetic acid,HMDB0000669,11970,28478,C05852,5639,OC(=O)CC1=C(O)C=CC=C1,1
3-(4-hydroxyphenyl)lactate,Hydroxyphenyllactic acid,HMDB0000755,9378,17385,C03672,5723,OC(CC1=CC=C(O)C=C1)C(O)=O,1
phenylpyruvate,Phenylpyruvic acid,HMDB0000205,997,30851,C00166,328,OC(=O)C(=O)CC1=CC=CC=C1,1
beta-alanine,beta-Alanine,HMDB0000056,239,16958,C00099,5119,NCCC(O)=O,1
carnosine,Carnosine,HMDB0000033,439224,15727,C00386,38,NCCC(=O)N[C@@H](CC1=CN=CN1)C(O)=O,1
biliverdin,Biliverdin,HMDB0001008,5353439,17033,C00500,5938,CC1=C(C=C)\C(NC1=O)=C\C1=C(C)C(CCC(O)=O)=C(N1)\C=C1/N=C(/C=C2\NC(=O)C(C=C)=C2C)C(C)=C1CCC(O)=O,1
succite,Succinic acid,HMDB0000254,1110,15741,C00042,114,O=C(O)CCC(=O)O,1
3-hydroxybutyrate (BHBA),(R)-3-Hydroxybutyric acid,HMDB0000011,92135,17066,C01089,,C[C@@H](O)CC(O)=O,1
cholesterol,Cholesterol,HMDB0000067,5997,1307929,C00187,163,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CCC(C4)O)C)C,1
choline phosphate,Phosphorylcholine,HMDB0001565,1014,18132,C00588,6326,C[N+](C)(C)CCOP(O)(O)=O,1
corticosterone,Corticosterone,HMDB0001547,5753,16827,C02140,6314,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C)O,1
cortisone,Cortisone,HMDB0002802,225609,16962,C00762,271,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2C(=O)C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C,1
creatinine,Creatinine,HMDB0000562,588,16737,C00791,8,CN1CC(=O)NC1=N,1
cysteinylglycine,Cysteinylglycine,HMDB0000078,439498,4047,C01419,5134,N[C@@H](CS)C(=O)NCC(O)=O,1
cystine,L-Cystine,HMDB0000192,67678,16283,C00491,5207,N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O,1
sphingosine,Sphingosine,HMDB0000252,5353955,16393,C00319,392,CCCCCCCCCCCCC/C=C/C(C(CO)N)O,1
deoxycholate,Deoxycholic acid,HMDB0000626,222528,28834,C04483,265,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,1
cystathionine,L-Cystathionine,HMDB0000099,439258,17482,C02291,39,N[C@@H](CCSC[C@H](N)C(O)=O)C(O)=O,1
sphinganine,Sphinganine,HMDB0000269,91486,16566,C00836,5268,CCCCCCCCCCCCCCC[C@H]([C@H](CO)N)O,1
flavin adenine dinucleotide (FAD),FAD,HMDB0001248,643975,16238,C00016,6106,CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC3=C1N=CN=C3N)C1=NC(=O)NC(=O)C1=N2,1
fumarate,Fumaric acid,HMDB0000134,444972,18012,C00122,3242,OC(=O)\C=C\C(O)=O,1
gamma-glutamylglutamate,gamma-Glutamylglutamic acid,HMDB0011737,92865,73705,C05282,,C(CC(=O)N[C@@H](CCC(=O)O)C(=O)O)[C@@H](C(=O)O)N,1
glucote,Gluconic acid,HMDB0000625,10690,33198,C00257,345,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O,1
glutarate (C5-DC),Glutaric acid,HMDB0000661,743,17859,C00489,3254,OC(=O)CCCC(O)=O,1
glycine,Glycine,HMDB0000123,750,15428,C00037,20,NCC(O)=O,1
glycocholate,Glycocholic acid,HMDB0000138,23617285,29746,C01921,5169,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](CC4[C@@]3(CC[C@H](C4)O)C)O)O)C,1
guanidinoacetate,Guanidoacetic acid,HMDB0000128,763,16344,C00581,5163,NC(=N)NCC(O)=O,1
histidine,L-Histidine,HMDB0000177,6274,15971,C00135,21,N[C@@H](CC1=CN=CN1)C(O)=O,1
cortisol,Cortisol,HMDB0000063,657311,,C00735,5124,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@]4(C(=O)CO)O)C)O,1
hypotaurine,Hypotaurine,HMDB0000965,107812,16668,C00519,281,NCCS(O)=O,1
inosine,Inosine,HMDB0000195,6021,17596,C00294,84,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(O)N=CN=C12,1
myo-inositol,myo-Inositol,HMDB0000211,,17268,C00137,5221,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O,1
isoleucine,L-Isoleucine,HMDB0000172,6306,17191,C00407,5193,CC[C@H](C)[C@@H](C(=O)O)N,1
2-aminoadipate,Aminoadipic acid,HMDB0000510,469,37024,C00956,5496,NC(CCCC(=O)O)C(=O)O,1
citrulline,Citrulline,HMDB0000904,9750,16349,C00327,16,N[C@@H](CCCNC(N)=O)C(O)=O,1
lactose,Lactose,HMDB0041627,6134,36218,C01970,,[H][C@@]1(O)O[C@]([H])(CO)[C@@]([H])(O[C@]2([H])O[C@]([H])(CO)[C@]([H])(O)[C@]([H])(O)[C@@]2([H])O)[C@]([H])(O)[C@@]1([H])O,1
leucine,L-Leucine,HMDB0000687,6106,15603,C00123,24,CC(C)C[C@H](N)C(O)=O,1
lysine,L-Lysine,HMDB0000182,5962,18019,C00047,5200,NCCCC[C@H](N)C(O)=O,1
malate,L-Malic acid,HMDB0000156,222656,30797,C00149,,O[C@@H](CC(O)=O)C(O)=O,1
methionine,L-Methionine,HMDB0000696,6137,16643,C00073,5664,CSCC[C@H](N)C(O)=O,1
palmitate (16:0),Palmitic acid,HMDB0000220,985,15756,C00249,187,CCCCCCCCCCCCCCCC(=O)O,1
nicotimide,Niacimide,HMDB0001406,936,17154,C00153,1497,NC(=O)C1=CC=CN=C1,1
stearate (18:0),Stearic acid,HMDB0000827,5281,28842,C01530,189,CCCCCCCCCCCCCCCCCC(=O)O,1
ornithine,Ornithine,HMDB0000214,6262,15729,C00077,27,NCCC[C@H](N)C(O)=O,1
orotate,Orotic acid,HMDB0000226,967,16742,C00295,318,OC(=O)C1=CC(=O)NC(=O)N1,1
palmitoleate (16:1n7),Palmitoleic acid,HMDB0003229,5312427,28716,C08362,188,CCCCCC/C=C\CCCCCCCC(=O)O,1
phenylalanine,L-Phenylalanine,HMDB0000159,6140,17295,C00079,28,N[C@@H](CC1=CC=CC=C1)C(O)=O,1
phosphate,Phosphate,HMDB0001429,1004,26078,C00009,3231,OP(O)(O)=O,1
proline,L-Proline,HMDB0000162,145742,17203,C00148,29,OC(=O)[C@@H]1CCCN1,1
lactate,L-Lactic acid,HMDB0000190,107689,422,C00186,5205,C[C@H](O)C(O)=O,1
pyridoxal,Pyridoxal,HMDB0001545,1050,17310,C00250,6312,CC1=NC=C(CO)C(C=O)=C1O,1
retinol (Vitamin A),Retinol,HMDB0006221,9904001,45479,C19962,,C\C(=C\CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C,1
salicylate,Salicyluric acid,HMDB0000840,10253,9008,C07588,617,OC(=O)CNC(=O)C1=C(O)C=CC=C1,1
serine,Serine,HMDB0062263,5951,17822,C00716,5203,N[C@@H](CO)C(O)=O,1
serotonin,Serotonin,HMDB0000259,5202,28790,C00780,74,NCCC1=CNC2=C1C=C(O)C=C2,1
taurine,Taurine,HMDB0000251,1123,15891,C00245,31,NCCS(O)(=O)=O,1
myristate (14:0),Myristic acid,HMDB0000806,11005,28875,C06424,196,CCCCCCCCCCCCCC(=O)O,1
urea,Urea,HMDB0000294,1176,16199,C00086,6,NC(N)=O,1
uridine,Uridine,HMDB0000296,6029,16704,C00299,90,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O,1
trans-urocate,Trans-urocate,HMDB0062562,1178,27248,,,OC(=O)C=CC1=CN=CN1,1
glutamate,L-Glutamic acid,HMDB0000148,33032,16015,C00025,5174,N[C@@H](CCC(O)=O)C(O)=O,1
glutamine,L-Glutamine,HMDB0000641,5961,18050,C00064,5614,N[C@@H](CCC(N)=O)C(O)=O,1
threonine,L-Threonine,HMDB0000167,6288,16857,C00188,32,C[C@@H](O)[C@H](N)C(O)=O,1
tryptophan,L-Tryptophan,HMDB0000929,6305,16828,C00078,5879,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,1
valine,L-Valine,HMDB0000883,6287,16414,C00183,5842,CC(C)[C@H](N)C(O)=O,1
nicotite,Nicotinic acid,HMDB0001488,938,15940,C00253,6272,OC(=O)C1=CN=CC=C1,1
glucose,D-Glucose,HMDB0000122,5793,4167,C00221,133,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,1
alpha-ketobutyrate,3-methyl pyruvic acid,HMDB0000005,58,30831,C00109,,CCC(=O)C(=O)O,1
adenosine,Adenosine,HMDB0000050,60961,16335,C00212,86,NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1,1
betaine,Betaine,HMDB0000043,247,17750,C00719,287,C[N+](C)(C)CC([O-])=O,1
cysteine,L-Cysteine,HMDB0000574,5862,17561,C00097,5556,N[C@@H](CS)C(O)=O,1
mannose,D-Mannose,HMDB0000169,18950,4208,C00936,,OC[C@H]1O[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1O,1
dimethylglycine,Dimethylglycine,HMDB0000092,673,17724,C01026,277,CN(C)CC(O)=O,1
alanine,L-Alanine,HMDB0000161,5950,16977,C00041,,C[C@H](N)C(O)=O,1
tyrosine,L-Tyrosine,HMDB0000158,6057,17895,C00082,34,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,1
pseudouridine,Pseudouridine,HMDB0000767,15047,17802,C02067,5734,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)C1=CNC(=O)NC1=O,1
pyruvate,Pyruvic acid,HMDB0000243,1060,32816,C00022,117,CC(=O)C(=O)O,1
uracil,Uracil,HMDB0000300,1174,17568,C00106,258,O=C1NC=CC(=O)N1,1
xylose,D-Xylose,HMDB0000098,135191,53455,C00181,314,O[C@@H]1COC(O)[C@H](O)[C@H]1O,1
cytidine,Cytidine,HMDB0000089,6253,17562,C00475,3376,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,1
cotinine,Cotinine,HMDB0001046,408,127762,,1531,CN1C(CCC1=O)C1=CN=CC=C1,1
caffeine,Caffeine,HMDB0001847,2519,27732,C07481,1455,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,1
fructose,D-Fructose,HMDB0000660,439709,28645,C02336,135,OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O,1
adenine,Adenine,HMDB0000034,190,16708,C00147,85,NC1=C2NC=NC2=NC=N1,1
cytosine,Cytosine,HMDB0000630,597,16040,C00380,283,NC1=CC=NC(=O)N1,1
caprate (10:0),,,,,,,,0
margarate (17:0),,,,,,,,0
nodecanoate (19:0),,,,,,,,0
arachidate (20:0),,,,,,,,0
maltose,Maltose,HMDB0037138,439341,18167,C00897,,OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,1
asparagine,L-Asparagine,HMDB0000168,6267,17196,C00152,14,N[C@@H](CC(N)=O)C(O)=O,1
N-stearoyl-sphinganine (d18:0/18:0),,,,,,,,0
dihydroorotate,"4,5-Dihydroorotic acid",HMDB0000528,648,30865,C00337,5513,OC(=O)C1CC(=O)NC(=O)N1,1
caproate (6:0),Caproate (6:0),HMDB0061883,8892,30776,C01585,5520,CCCCCC(O)=O,1
caprylate (8:0),,,,,,,,0
pentadecanoate (15:0),,,,,,,,0
trans-4-hydroxyproline,4-Hydroxyproline,HMDB0000725,5810,18095,C01157,257,O[C@H]1CN[C@@H](C1)C(O)=O,1
allantoin,Allantoin,HMDB0000462,204,15676,C01551,89,NC(=O)NC1NC(=O)NC1=O,1
xanthine,Xanthine,HMDB0000292,1188,17712,C00385,82,O=C1NC2=C(NC=N2)C(=O)N1,1
5-oxoproline,Pyroglutamic acid,HMDB0000267,7405,18183,C01879,3251,OC(=O)[C@@H]1CCC(=O)N1,1
picolite,Picolinic acid,HMDB0002243,1018,28747,C10164,,OC(=O)C1=CC=CC=N1,1
sarcosine,Sarcosine,HMDB0000271,1088,15611,C00213,51,CNCC(O)=O,1
pantothete,Pantothenic acid,HMDB0000210,6613,46905,C00864,,CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O,1
pipecolate,Pipecolic acid,HMDB0000070,849,17964,C00408,50,OC(=O)C1CCCCN1,1
phosphoethanolamine,O-Phosphoethanolamine,HMDB0000224,1015,17553,C00346,5233,NCCOP(O)(O)=O,1
glycerate,Glyceric acid,HMDB0000139,439194,32398,C00258,280,OC[C@@H](O)C(O)=O,1
3-ureidopropiote,Ureidopropionic acid,HMDB0000026,111,18261,C02642,5097,NC(=O)NCCC(O)=O,1
N-acetylleucine,N-Acetylleucine,HMDB0011756,70912,17786,C02710,,CC(C)C[C@H](NC(C)=O)C(O)=O,1
N-acetylmethionine,N-Acetylmethionine,HMDB0011745,6180,21557,C02712,,CSCC[C@H](NC(C)=O)C(O)=O,1
N-acetylvaline,N-Acetylvaline,HMDB0011757,227752,21565,,,CC(C)C(C(=O)O)NC(=O)C,1
erucate (22:1n9),Erucic acid,HMDB0002068,5281116,28792,C08316,6470,CCCCCCCC/C=C\CCCCCCCCCCCC(=O)O,1
"bilirubin (Z,Z)",Bilirubin,HMDB0000054,5280352,16990,C00486,81,CC1=C(C=C)\C(NC1=O)=C\C1=C(C)C(CCC(O)=O)=C(CC2=C(CCC(O)=O)C(C)=C(N2)\C=C2/NC(=O)C(C=C)=C2C)N1,1
thyroxine,Thyroxine,HMDB0000248,5819,18332,C01829,439,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O,1
gamma-glutamyltyrosine,gamma-Glutamyltyrosine,HMDB0011741,94340,82969,,,N[C@@H](CCC(=O)N[C@@H](CC1=CC=C(O)C=C1)C(O)=O)C(O)=O,1
methyl indole-3-acetate,Indole-3-methyl acetate,HMDB0029738,74706,72782,,,COC(=O)CC1=CNC2=C1C=CC=C2,1
alpha-tocopherol,Alpha-Tocopherol,HMDB0001893,14985,18145,C02477,6376,CC1=C(C(=C2CC[C@@](OC2=C1C)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C)O,1
N-acetylalanine,N-Acetyl-L-alanine,HMDB0000766,88064,40992,,5733,C[C@H](NC(C)=O)C(O)=O,1
vanillylmandelate (VMA),Vanillylmandelic acid,HMDB0000291,736172,1127735,C05584,697,COC1=C(O)C=CC(=C1)[C@H](O)C(O)=O,1
4-acetamidobutanoate,4-Acetamidobutanoic acid,HMDB0003681,18189,17645,C02946,,CC(=O)NCCCC(O)=O,1
3-aminoisobutyrate,3-Aminoisobutanoic acid,HMDB0003911,64956,27389,C05145,5472,CC(CN)C(=O)O,1
citrate,Citric acid,HMDB0000094,311,30769,C00158,124,OC(=O)CC(O)(CC(O)=O)C(O)=O,1
2-aminobutyrate,L-Alpha-aminobutyric acid,HMDB0000452,80283,35619,C02356,12,CC[C@@H](C(=O)O)N,1
urate,Uric acid,HMDB0000289,1175,17775,C00366,88,O=C1NC2=C(N1)C(=O)NC(=O)N2,1
ursodeoxycholate,Ursodeoxycholic acid,HMDB0000946,31401,9907,C07880,5893,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,1
oleoyl ethanolamide,,,,,,,,0
gamma-glutamylglutamine,N2-gamma-Glutamylglutamine,HMDB0011738,150914,73707,C05283,,N[C@@H](CCC(=O)N[C@@H](CCC(N)=O)C(O)=O)C(O)=O,1
4-hydroxyphenylpyruvate,4-Hydroxyphenylpyruvic acid,HMDB0000707,979,15999,C01179,5675,OC(=O)C(=O)CC1=CC=C(O)C=C1,1
butyrate/isobutyrate (4:0),,,,,,,,0
tigloylglycine,Tiglylglycine,HMDB0000959,6441567,73018,,4246,C\C=C(/C)C(=O)NCC(O)=O,1
N-acetylneuramite,N-Acetylneuramite,,3568,17012,C00270,,,1
N-acetylglucosaminylasparagine,Aspartylglycosamine,HMDB0000489,123826,17261,C04540,5476,CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1NC(=O)C[C@H](N)C(O)=O,1
acetoacetate,Acetoacetic acid,HMDB0000060,96,15344,C00164,276,CC(=O)CC(=O)O,1
creatine,Creatine,HMDB0000064,586,16919,C00300,7,CN(CC(O)=O)C(N)=N,1
"cys-gly, oxidized",,,,,,,,0
estrone 3-sulfate,Estrone sulfate,HMDB0001425,3001028,17474,C02538,3556,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)O,1
dihomo-linoleate (20:2n6),,,,,,,,0
gamma-glutamylhistidine,gamma-Glutamylhistidine,HMDB0029151,7017195,133032,,,N[C@@H](CCC(=O)N[C@@H](CC1=CNC=N1)C(O)=O)C(O)=O,1
2-hydroxystearate,,,,,,,,0
N1-methyladenosine,1-Methyladenosine,HMDB0003331,27476,16020,C02494,6888,CN1C=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C1=N,1
glycerol,Glycerol,HMDB0000131,753,17754,C00116,105,OCC(O)CO,1
choline,Choline,HMDB0000097,305,15354,C00114,56,C[N+](C)(C)CCO,1
gamma-glutamylleucine,L-gamma-glutamyl-L-leucine,HMDB0011171,4524287,68433,,,CC(C)C[C@H](NC(=O)CC[C@H](N)C(O)=O)C(O)=O,1
3-methoxytyrosine,3-Methoxytyrosine,HMDB0001434,1670,,,,COC1=C(O)C=CC(CC(N)C(O)=O)=C1,1
fluoxetine,Fluoxetine,HMDB0014615,3386,86990,,,CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1,1
4-acetamidophenol,Acetaminophen,HMDB0001859,1983,46195,C06804,6353,CC(=O)NC1=CC=C(O)C=C1,1
proxen,proxen,HMDB0001923,156391,7476,C01517,1461,COC1=CC2=C(C=C1)C=C(C=C2)[C@H](C)C(O)=O,1
beta-hydroxyisovalerate,3-Hydroxyisovaleric acid,HMDB0000754,69362,37084,C20827,5722,CC(C)(CC(=O)O)O,1
ibuprofen,Ibuprofen,HMDB0001925,3672,5855,C01588,572,CC(C)CC1=CC=C(C=C1)C(C)C(O)=O,1
arachidonoyl ethanolamide,"Andamide (20:4, n-6)",HMDB0004080,5281969,2700,C11695,,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCCO,1
palmitoyl ethanolamide,Palmitoylethanolamide,HMDB0002100,4671,71464,C16512,,CCCCCCCCCCCCCCCC(=O)NCCO,1
N-palmitoyl-sphingosine (d18:1/16:0),,,,,,,,0
1-palmitoyl-2-oleoyl-GPE (16:0/18:1),,,,,,,,0
1-palmitoyl-2-linoleoyl-GPI (16:0/18:2),,,,,,,,0
1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),"PC(16:0/18:2(9Z,12Z))",HMDB0007973,5287971,,C00157,,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC,1
stearoyl sphingomyelin (d18:1/18:0),,,,,,,,0
1-palmitoyl-2-oleoyl-GPC (16:0/18:1),,,,,,,,0
N-stearoyl-sphingosine (d18:1/18:0),,,,,,,,0
glycochenodeoxycholate,Chenodeoxycholic acid glycine conjugate,HMDB0000637,22833540,,C05466,5610,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CCC2[C@@]1(CCC3C2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,1
taurochenodeoxycholate,Taurochenodesoxycholic acid,HMDB0000951,387316,16525,C05465,5897,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,1
taurocholate,Taurocholic acid,HMDB0000036,6675,28865,C05122,5104,CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C1([C@H](CC3C2[C@@H](C[C@H]4C3(CC[C@H](C4)O)C)O)O)C,1
taurodeoxycholate,Taurodeoxycholic acid,HMDB0000896,2733768,9410,C05463,5853,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,1
2-hydroxyhippurate (salicylurate),,,,,,,,0
metoprolol,Metoprolol,HMDB0001932,4171,6904,C07202,1250,COCCC1=CC=C(OCC(O)CNC(C)C)C=C1,1
3-(N-acetyl-L-cystein-S-yl) acetaminophen,3-(N-Acetyl-L-cystein-S-yl) acetaminophen,,83967,,,,,1
4-acetaminophen sulfate,Paracetamol sulfate,HMDB0059911,83939,32635,,,CC(=O)NC1=CC=C(OS(O)(=O)=O)C=C1,1
eicosapentaenoate (EPA; 20:5n3),,,,,,,,0
methylsuccite,Methylsuccinic acid,HMDB0001844,10349,29003,C08645,6344,CC(CC(=O)O)C(=O)O,1
ethylmalote,Ethylmalonic acid,HMDB0000622,11756,741548,,4180,CCC(C(=O)O)C(=O)O,1
carnitine,L-Carnitine,HMDB0000062,10917,16347,C00318,52,C[N+](C)(C)C[C@H](O)CC([O-])=O,1
benzoate,Benzoate,HMDB0013677,7424,39912,C00180,,OC(=O)C1=CC(O)=CC(O)=C1,1
3-phenylpropiote (hydrocinmate),,,,,,,,0
phenylacetate,Phenylacetic acid,HMDB0000209,999,30745,C07086,129,OC(=O)CC1=CC=CC=C1,1
hippurate,Hippuric acid,HMDB0000714,464,18089,C01586,1301,OC(=O)CNC(=O)C1=CC=CC=C1,1
xanthurete,Xanthurenic acid,HMDB0000881,5699,10072,C02470,5841,OC(=O)C1=NC2=C(O)C=CC=C2C(O)=C1,1
suberate (C8-DC),,,,,,,,0
3-methyl-2-oxovalerate,3-Methyl-2-oxovaleric acid,HMDB0000491,47,35932,C00671,5478,CCC(C)C(=O)C(O)=O,1
methionine sulfoxide,Methionine sulfoxide,HMDB0002005,158980,17016,C02989,6428,CS(=O)CC[C@H](N)C(O)=O,1
3-methylhistidine,3-Methylhistidine,HMDB0000479,64969,27596,C01152,5466,[H][C@](N)(CC1=CN=CN1C)C(O)=O,1
4-acetamidophenylglucuronide,,,,,,,,0
